City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,troy,42.6056,-83.1499,3.5,91,100,3.6,US,1706461491
304,illizi,26.4833,8.4667,18.87,18,0,4.65,DZ,1706461693
305,vysokaya gora,55.9128,49.3017,-6.9,99,90,1.19,RU,1706461694
306,nova olimpia,-14.7972,-57.2881,36.54,35,66,1.24,BR,1706461499
307,shovot,41.6607,60.2924,-1.98,82,100,3.12,UZ,1706461694
308,as sulayyil,20.4607,45.5779,20.14,29,99,5.58,SA,1706461694
309,saurimo,-9.6608,20.3916,21.56,90,89,2.16,AO,1706461695
310,araripina,-7.5761,-40.4983,29.83,49,97,3.49,BR,1706461516
311,cortez,37.3489,-108.5859,3.29,60,0,0.0,US,1706461695
312,acarau,-2.8856,-40.12,31.66,57,73,8.39,BR,1706461695
313,trairi,-3.2778,-39.2689,31.64,58,68,6.9,BR,1706461669
314,chicoana,-25.1009,-65.5331,28.92,52,11,1.81,AR,1706461696
315,igarka,67.4667,86.5833,-11.64,93,100,8.01,RU,1706461696
316,coahuayana de hidalgo,18.7,-103.6583,30.06,46,17,1.76,MX,1706461696
317,fairburn,33.5671,-84.581,9.51,73,75,9.26,US,1706461696
318,antonio enes,-16.2325,39.9086,26.39,75,18,3.55,MZ,1706461697
319,kant,27.8,79.8,13.43,45,100,1.79,IN,1706461697
320,zaterechnyy,44.7931,45.2097,-0.81,91,100,2.2,RU,1706461697
321,zambezi,-13.5432,23.1047,23.87,57,21,2.68,ZM,1706461697
322,gadzhiyevo,69.2551,33.3362,-2.09,79,38,11.48,RU,1706461698
323,kiunga,-6.1219,141.2906,23.6,86,81,0.99,PG,1706461698
324,kemise,10.7167,39.8667,21.37,74,99,1.92,ET,1706461698
325,panaba,21.2833,-88.2667,25.14,72,20,7.76,MX,1706461698
326,shagonar,51.5333,92.8,-31.0,95,75,0.79,RU,1706461699
327,vernon,50.2581,-119.2691,5.16,93,100,0.95,CA,1706461699
328,berdigestyakh,62.0989,126.6992,-44.56,100,77,0.93,RU,1706461699
329,guatrache,-37.6678,-63.5302,34.87,17,81,7.78,AR,1706461700
330,tosontsengel,48.7567,98.2839,-28.56,89,47,0.41,MN,1706461627
331,borba,-4.3878,-59.5939,31.22,58,91,2.95,BR,1706461700
332,san patricio,28.017,-97.5169,16.97,53,0,3.32,US,1706461701
333,port hedland,-20.3167,118.5667,27.03,78,100,6.69,AU,1706461701
334,bermeo,43.4209,-2.7215,21.11,65,92,4.49,ES,1706461701
335,niamey,13.5137,2.1098,30.26,10,1,5.67,NE,1706461680
336,sant antoni de portmany,38.9807,1.3036,15.77,80,75,6.17,ES,1706461702
337,aljezur,37.3191,-8.8033,17.28,74,99,3.32,PT,1706461702
338,carnaiba,-8.7,-37.6667,37.2,23,38,4.37,BR,1706461702
339,hovd,48.0056,91.6419,-20.98,91,78,0.08,MN,1706461702
340,tangalle,6.024,80.7911,24.39,86,44,4.17,LK,1706461703
341,sil-li,39.4947,125.4736,-8.46,96,6,1.28,KP,1706461703
342,keflavik,64.0049,-22.5624,-2.76,100,75,4.12,IS,1706461703
343,beledweyne,4.7358,45.2036,32.98,32,42,5.69,SO,1706461703
344,brandon,27.9378,-82.2859,20.33,74,100,5.66,US,1706461704
345,bereket,39.2446,55.5154,5.47,78,100,7.57,TM,1706461704
346,vilyuchinsk,52.9306,158.4028,-8.37,88,100,3.04,RU,1706461704
347,leava,-14.3,-178.1667,26.57,89,100,5.35,WF,1706461704
348,mount isa,-20.7333,139.5,26.87,89,40,3.09,AU,1706461705
349,banyo,6.75,11.8167,27.78,22,5,1.3,CM,1706461705
